feature,mean,std,median,mad,robust_scale_factor
tot_allarmi_log,3.1712715983913715,2.964559192868443,2.772588722239781,2.772588722239781,4.110640039592699
pct_interpol,0.1149540864525182,0.19843336061849415,0.0,0.0,0.0
pct_sdi,0.12930714063380533,0.21369323420904696,0.0,0.0,0.0
pct_nsis,0.12060419871574364,0.1943208964830139,0.0,0.0,0.0
tasso_chiusura,0.24414031619651036,0.4290481677862341,0.0,0.0,0.0
tasso_rilevanza,0.06817838246409676,0.22620831887106185,0.0,0.0,0.0
tasso_allarme_medio,0.1677239924812111,0.27510801811706864,0.0,0.0,0.0
tasso_inv_medio,0.7138963779001866,0.40747389883309637,1.0,0.0,0.0
score_rischio_esiti,0.11717380405794395,0.16561232883205906,0.0,0.0,0.0
tasso_respinti,0.12561459560817462,0.25242550525667473,0.0,0.0,0.0
tasso_fermati,0.10451261673259798,0.2104603521744522,0.0,0.0,0.0
false_positive_rate,0.08281400764790063,0.22916405061744288,0.0,0.0,0.0
alarm_per_invest,0.16790564052933626,0.27908221249533594,0.0,0.0,0.0
