ROTTA,n_months,n_alarmed_slope,n_entered_slope
JFK-FCO,5,0.0,-0.018610421836273424
TIA-GOA,4,-11.693103448275862,-2300.3206896551724
SAW-FCO,4,-0.3793103448275862,-7.496551724137931
LGW-FCO,4,4.4827586206986207e+30,4.9808429571577393e+30
TIA-PSA,4,-72831012542748.88,-5.9668050569777095e+19
TIA-AOI,4,6.868241358012062e+46,3.0962386738314075e+63
JED-FCO,4,15172458710724.094,372653132464506.06
TIA-BGY,4,-37261236492601.1,-2.576060012042908e+21
TIA-BLQ,4,-1078086541813385.9,-5.5517128833751286e+19
TIA-BRI,4,-2.9379310344827587,-99.85172413793103
LAD-FCO,4,0.0,-0.12758620689655173
DXB-BGY,4,56341.19655172414,767646624.737931
TIA-CTA,4,-8.724137931034482,-919218.0344827586
TIA-FCO,4,-61414737.16206896,-5.267299254444552e+16
TIA-MXP,4,-995239313.1896552,-398956186735261.9
TIA-TSF,4,-181.14137931034483,-203165.83103448275
TIA-TRN,4,-63664210281.965515,-646041549703068.6
TIA-RMI,4,6.156782386931419e+19,5.429681284361219e+27
TIA-PEG,4,5.3754039744854665e+26,2.9885205856849035e+34
TIA-PSR,4,-32.813793103448276,-3549.503448275862
LGW-MXP,4,3.7934903448279654e+26,4.976973255984215e+27
LGW-BLQ,4,0.1724137931034483,42.59655172413793
LHR-MXP,4,0.30344827586206896,421838.9551724138
DXB-MXP,4,-3.8758620689655174,-4.703448275862069
IST-BRI,4,37.88620689655173,46.389655172413796
STN-BGY,4,0.0,-896.5448275862069
STN-CIA,4,0.0,-4.748275862068965
IKA-FCO,4,5603995665.965517,21616436898686.688
STN-BRI,4,421.0344827586207,8011.451724137931
LGW-VRN,4,3841737.5862068967,5612992.086206896
STN-PSA,3,68426233132048.516,699415205675159.5
MAN-MXP,3,8922041.401276205,98627954.9681785
STN-GOA,3,4459089.171975681,71311123.51912709
MHD-FCO,3,0.03503184713376955,5.254777070065119
KBL-MXP,3,-0.035031847133734785,0.4203821656052693
