threshold,baseline_value,delta_pct,perturbed_value,CRITICAL,HIGH,MEDIUM,LOW
high_interpol_pct,0.3,-0.1,0.27,9,29,19,510
high_interpol_pct,0.3,-0.05,0.285,9,29,19,510
high_interpol_pct,0.3,0.0,0.3,9,29,19,510
high_interpol_pct,0.3,0.05,0.315,8,30,19,510
high_interpol_pct,0.3,0.1,0.33,8,30,19,510
high_rejection_rate,0.25,-0.1,0.225,10,28,19,510
high_rejection_rate,0.25,-0.05,0.2375,9,29,19,510
high_rejection_rate,0.25,0.0,0.25,9,29,19,510
high_rejection_rate,0.25,0.05,0.2625,9,28,20,510
high_rejection_rate,0.25,0.1,0.275,9,28,20,510
low_closure_volume,3.0,-0.1,2.7,9,29,19,510
low_closure_volume,3.0,-0.05,2.8499999999999996,9,29,19,510
low_closure_volume,3.0,0.0,3.0,9,29,19,510
low_closure_volume,3.0,0.05,3.1500000000000004,9,29,19,510
low_closure_volume,3.0,0.1,3.3000000000000003,9,29,19,510
low_closure_rate,0.1,-0.1,0.09000000000000001,9,29,19,510
low_closure_rate,0.1,-0.05,0.095,9,29,19,510
low_closure_rate,0.1,0.0,0.1,9,29,19,510
low_closure_rate,0.1,0.05,0.10500000000000001,9,29,19,510
low_closure_rate,0.1,0.1,0.11000000000000001,9,29,19,510
multi_source_pct,0.1,-0.1,0.09000000000000001,9,29,19,510
multi_source_pct,0.1,-0.05,0.095,9,29,19,510
multi_source_pct,0.1,0.0,0.1,9,29,19,510
multi_source_pct,0.1,0.05,0.10500000000000001,9,29,19,510
multi_source_pct,0.1,0.1,0.11000000000000001,9,28,20,510
high_alarm_rate,0.5,-0.1,0.45,9,30,18,510
high_alarm_rate,0.5,-0.05,0.475,9,29,19,510
high_alarm_rate,0.5,0.0,0.5,9,29,19,510
high_alarm_rate,0.5,0.05,0.525,9,29,19,510
high_alarm_rate,0.5,0.1,0.55,9,29,19,510
